1,A++,Facebook,Facebook,"213,739,003","374,996"
2,A++,Real Madrid C.F.,Real Madrid C.F.,"109,514,161","465,876"
3,A++,Coca-Cola,Coca-Cola,"107,516,849",298
4,A,Vonvon US,Vonvon US,"61,760,822","312,942"
5,A,KFC Sri Lanka,KFC Sri Lanka,"53,267,447","4,785"
6,A,Disney,Disney,"51,442,130","8,144"
7,A,FC Bayern München,FC Bayern München,"50,071,923","70,320"
8,A,FC Bayern München,FC Bayern München,"50,071,810","192,639"
9,A-,Windows,Windows,"46,154,366",13
10,A-,AVATAR - Singapore,AVATAR - Singapore,"45,928,756",0
11,A-,Oreo,Oreo,"42,629,895","216,952"
12,A-,OPPO Mobile Italia,OPPO Mobile Italia,"38,828,566",455
13,A-,adidas,adidas,"35,601,625","2,749"
14,A-,L'Oréal Paris,L'Oréal Paris,"35,266,856","8,645"
15,A-,Jesus Daily,Jesus Daily,"34,205,921","434,279"
16,A-,Volkswagen,Volkswagen,"33,830,943","18,452"
17,A-,Marvel,Marvel,"32,198,147","2,240"
18,A-,adidas Originals,adidas Originals,"32,174,785","48,469"
19,A-,CNN,CNN,"31,128,973","2,515,210"
20,A-,Sony Pictures,Sony Pictures,"29,603,195","3,560"
21,A-,Cartoon Network,Cartoon Network,"27,055,593","30,355"
22,B+,ASUS,ASUS,"26,641,380","42,013"
23,B+,Levi's,Levi's,"25,912,472","11,667"
24,B+,Cultura Colectiva,Cultura Colectiva,"23,565,083","967,785"
25,B+,Skittles,Skittles,"22,798,370","13,603"
