1,A++,T-Series,"13,232","91,431,845","65,754,689,377"
2,A,PewDiePie,"3,784","91,420,434","20,848,928,803"
3,A+,5-Minute Crafts,"2,879","52,466,129","12,962,945,204"
4,A+,Canal KondZilla,"1,001","47,977,974","23,770,560,039"
5,A++,SET India,"29,845","44,499,408","30,933,426,280"
6,B,Justin Bieber,132,"43,989,135","604,238,348"
7,A++,Cocomelon - Nursery Rhymes,410,"41,454,014","23,591,688,754"
8,A+,WWE,"40,329","41,068,088","30,864,687,731"
9,A,Dude Perfect,202,"40,520,973","7,513,166,259"
10,B+,HolaSoyGerman.,137,"38,558,625","3,848,537,792"
11,A,Ed Sheeran,123,"37,808,630","16,300,335,845"
12,A+,Badabun,"3,889","37,292,948","10,972,650,334"
13,B+,EminemMusic,117,"36,718,174","670,527,168"
14,B+,whinderssonnunes,363,"35,236,995","2,870,500,902"
15,B+,Ariana Grande`,127,"34,271,957","767,601,130"
16,A,elrubiusOMG,797,"34,232,225","7,443,697,886"
17,A,JuegaGerman,"1,585","34,038,641","8,967,035,470"
18,A,JustinBieberVEVO,122,"33,755,855","18,533,645,482"
19,A+,Zee Music Company,"4,026","33,588,857","15,741,874,323"
20,B-,Katy Perry,95,"32,727,907","358,126,756"
21,B,Taylor Swift,160,"32,572,026","234,746,757"
22,A-,Fernanfloo,534,"32,453,652","6,883,463,659"
23,A,Marshmello,273,"31,903,741","5,359,338,815"
24,B-,Rihanna,76,"31,546,107","60,555,452"
25,A,Felipe Neto,"1,658","31,481,382","6,376,368,652"
