Rank,Grade,User name,Display name,Tweets,Followers,Following
1,A++,katyperry,KATY PERRY,"9,768","107,133,263",214
2,A++,BarackObama,Barack Obama,"15,606","105,547,584","614,819"
3,A++,justinbieber,Justin Bieber,"30,486","105,240,668","296,507"
4,A++,rihanna,Rihanna,"10,260","90,387,678","1,085"
5,A++,taylorswift13,Taylor Swift,104,"83,176,215",0
6,A++,ladygaga,Lady Gaga,"8,951","78,434,720","125,100"
7,A++,Cristiano,Cristiano Ronaldo,"3,371","77,417,898",52
8,A++,TheEllenShow,Ellen DeGeneres,"19,147","77,379,323","33,008"
9,A++,YouTube,YouTube,"23,244","71,425,285","1,022"
10,A++,jtimberlake,Justin Timberlake,"4,072","64,843,162",289
11,A++,ArianaGrande,Ariana Grande,"44,473","61,841,734","61,583"
12,A++,KimKardashian,Kim Kardashian West,"29,098","60,287,450",144
13,A++,realDonaldTrump,Donald J. Trump,"41,159","59,586,125",45
14,A++,ddlovato,Demi Lovato,"17,080","57,439,469",535
15,A++,selenagomez,Selena Gomez,"4,385","57,407,267","1,185"
16,A++,britneyspears,Britney Spears,"5,637","56,429,890","382,498"
17,A+,Twitter,Twitter,"9,781","56,059,341",140
18,A+,cnnbrk,CNN Breaking News,"65,495","54,985,739",121
19,A+,shakira,Shakira,"6,179","51,090,984",213
20,A+,jimmyfallon,jimmy fallon,"11,731","50,969,863","8,769"
21,A+,BillGates,Bill Gates,"3,016","46,969,439",200
22,A+,narendramodi,Chowkidar Narendra Modi,"22,933","46,752,877","2,160"
23,A+,JLo,Jennifer Lopez,"14,551","43,570,173","1,684"
24,A+,nytimes,The New York Times,"355,337","43,184,443",887
25,A+,neymarjr,Neymar Jr,"41,463","42,865,069",750
