1,A++,katyperry,KATY PERRY,"9,688","107,069,606",213
2,A++,BarackObama,Barack Obama,"15,601","105,372,064","615,048"
3,A++,justinbieber,Justin Bieber,"30,486","105,196,625","297,029"
4,A++,rihanna,Rihanna,"10,251","90,225,691","1,088"
5,A++,taylorswift13,Taylor Swift,104,"83,211,244",0
6,A++,ladygaga,Lady Gaga,"8,956","78,367,313","125,181"
7,A++,TheEllenShow,Ellen DeGeneres,"19,035","77,282,252","33,028"
8,A++,Cristiano,Cristiano Ronaldo,"3,366","77,237,787",51
9,A++,YouTube,YouTube,"23,220","71,369,313","1,019"
10,A++,jtimberlake,Justin Timberlake,"4,066","64,830,550",289
11,A++,ArianaGrande,Ariana Grande,"44,377","61,607,044","61,676"
12,A++,KimKardashian,Kim Kardashian West,"29,011","60,174,861",144
13,A++,realDonaldTrump,Donald J. Trump,"41,023","59,337,326",45
14,A++,ddlovato,Demi Lovato,"17,080","57,439,469",535
15,A++,selenagomez,Selena Gomez,"4,383","57,335,493","1,187"
16,A++,britneyspears,Britney Spears,"5,637","56,472,598","382,654"
17,A+,Twitter,Twitter,"9,637","56,020,634",140
18,A+,cnnbrk,CNN Breaking News,"65,325","54,936,033",121
19,A+,shakira,Shakira,"6,175","51,075,690",212
20,A+,jimmyfallon,jimmy fallon,"11,707","50,934,817","8,754"
21,A+,BillGates,Bill Gates,"3,001","46,881,094",201
22,A+,narendramodi,Chowkidar Narendra Modi,"22,723","46,592,435","2,162"
23,A+,JLo,Jennifer Lopez,"14,423","43,567,420","1,686"
24,A+,nytimes,The New York Times,"353,984","43,114,011",888
25,A+,neymarjr,Neymar Jr,"41,454","42,780,385",756
