1,A++,Xbox,"434,867","8,322,855",105,Battlefield V
2,A++,Ship,"388,528","5,931,123",112,Fortnite
3,A++,TheGrefg,"374,343","31,156,800",89,Fortnite
4,A++,SIEFE,"320,028","4,497,333",111,Apex Legends
5,A++,JaredFPS,"313,455","3,968,668",123,Battlefield V
6,A++,QueenEliminator,"222,122","2,349,317",113,Call Of Duty: Black Ops 4
7,A++,HypeZoneFortnite,"217,201","11,777,841",100,Fortnite
8,A++,NVAD3,"204,079","2,181,499",117,Sekiro: Shadows Die Twice
9,A++,Archonaut,"203,333","2,941,305",112,Battlefield V
10,A++,Phixate,"192,098","2,608,291",109,Web Show
11,A+,ChannelOne,"183,257","19,265,379",115,Web Show
12,A+,Covent,"167,285","2,762,895",116,Web Show
13,A+,PaladinsGame,"160,304","19,009,251",110,Paladins: Champions of the Realm
14,A+,AtlasOfficial,"147,241","1,543,997",114,Grand Theft Auto V
15,A+,ORIGINPC,"142,318","85,512",81,Tom Clancy's The Division 2
16,A+,Xboxinteractive,"141,805","5,588,848",118,Sea of Thieves
17,A+,britni,"139,004","1,765,545",114,Web Show
18,A+,Kabby,"136,491","3,715,949",116,Battlefield V
19,A+,Mystiique,"127,660","1,476,418",109,Battlefield V
20,A+,Beautyxskillz,"123,517","1,095,840",103,Fortnite
21,A+,AnthonyDay,"123,189","1,754,722",115,Fortnite
22,A+,AlphaSniper97,"120,532","7,892,599",84,Fortnite
23,A+,bytarifa,"120,187","6,764,473",107,Fortnite
24,A+,Monstercat,"119,063","6,355,586",119,Music
25,A+,Ampeterby7,"118,961","4,917,789",89,Fortnite
